0.708,-8.0581,-8.001,-1.6666,1.88,0.75,0.88,-3.7393,-0.479,2.97,1.32,-12.6496,-4.71,1.87,0,-1.74286913563e-14
0.574,-8.0581,-8.7,-1.6666,1.88,0.68,0.76,-3.9708,-0.479,2.97,1.32,-13.9018,-4.71,1.67,0,-1.27208742442e-14
1.251,-8.0581,-11.294,-1.6666,1.88,0.41,0.37,-4.2735,-0.479,2.97,1.32,-19.4043,-4.71,1.43,0,-1.1932599659e-14
0.213,-8.0581,-7.236,-1.6666,1.88,0.9,1.07,-3.5135,-0.479,2.97,1.32,-11.2571,-4.71,1.72,0,-2.74515738272e-14
0.064,-5.7805,-5.341,-0.3125,1.39,0.85,1.04,-1.8392,0.695,1.94,1.09,-9.2619,-2.784,2.02,0,-5.47949074088e-15
3.057,-5.7805,-7.239,-0.3125,1.39,0.54,0.51,-1.8675,0.695,1.94,1.09,-13.5852,-2.784,1.54,0,-6.46718926077e-16
0.183,-5.7805,-5.596,-0.3125,1.39,0.83,0.97,-1.92,0.695,1.94,1.09,-9.7506,-2.784,1.77,0,-1.27230157059e-15
0.105,-5.7805,-4.991,-0.3125,1.39,1,1.23,-1.8467,0.695,1.94,1.09,-8.4683,-2.784,2.06,0,-1.48432612807e-14
0.064,-8.19,-5.341,-0.1074,0.83,0.85,1.04,-1.8392,2.248,1.95,0.81,-9.2619,-3.715,2.02,0,-5.00523548429e-15
0.064,-5.8182,-5.341,-0.1081,1.33,0.85,1.04,-1.8392,0.13,2.16,0.99,-9.2619,-2.732,2.02,0,-9.2057792812e-15
0.064,-5.5374,-5.341,-0.2563,1.5,0.85,1.04,-1.8392,0.368,3.11,1.13,-9.2619,-2.697,2.02,0,-1.79277032689e-14
3.057,-8.19,-7.239,-0.1074,0.83,0.54,0.51,-1.8675,2.248,1.95,0.81,-13.5852,-3.715,1.54,0,-1.72513649432e-16
0.183,-8.19,-5.596,-0.1074,0.83,0.83,0.97,-1.92,2.248,1.95,0.81,-9.7506,-3.715,1.77,0,-7.98090917603e-16
0.105,-8.19,-4.991,-0.1074,0.83,1,1.23,-1.8467,2.248,1.95,0.81,-8.4683,-3.715,2.06,0,-1.43689922662e-14
2.541,-5.5157,-9.197,0.278,2.63,0.46,0.43,-3.0059,-2.129,1.35,2.15,-16.4332,-3.346,2.22,0,-1.81854783776e-14
0.642,-5.5157,-7.106,0.278,2.63,0.74,0.85,-2.8449,-2.129,1.35,2.15,-11.7951,-3.346,2.37,0,-1.88913083262e-14
1.316,-5.5157,-6.654,0.278,2.63,0.8,0.95,-2.751,-2.129,1.35,2.15,-10.946,-3.346,2.18,0,-2.33464006336e-14
0.099,-5.5157,-6.109,0.278,2.63,0.94,1.14,-2.666,-2.129,1.35,2.15,-9.8667,-3.346,1.83,0,-3.3037560155e-14
2.541,-9.4594,-9.197,0.6305,1.21,0.46,0.43,-3.0059,-2.098,2.88,1.08,-16.4332,-5.6,2.22,0,-1.95326450069e-16
0.642,-9.4594,-7.106,0.6305,1.21,0.74,0.85,-2.8449,-2.098,2.88,1.08,-11.7951,-5.6,2.37,0,-9.00907435553e-16
1.316,-9.4594,-6.654,0.6305,1.21,0.8,0.95,-2.751,-2.098,2.88,1.08,-10.946,-5.6,2.18,0,-5.35596306959e-15
0.099,-9.4594,-6.109,0.6305,1.21,0.94,1.14,-2.666,-2.098,2.88,1.08,-9.8667,-5.6,1.83,0,-1.50470940236e-14
0.708,-4.0062,-8.001,-0.5696,3.16,0.75,0.88,-3.7393,-0.548,1.97,2.46,-12.6496,-2.22,1.87,0,-2.2951891015e-14
0.708,-8.3888,-8.001,-1.6385,1.68,0.75,0.88,-3.7393,-0.641,2.58,1.2,-12.6496,-4.856,1.87,0,-9.33170572672e-15
0.708,-4.4332,-8.001,-0.6213,2.44,0.75,0.88,-3.7393,-0.697,1.79,2.13,-12.6496,-2.426,1.87,0,-7.02494031268e-15
0.708,-5.3291,-8.001,-0.6981,2,0.75,0.88,-3.7393,-0.978,6.93,1.65,-12.6496,-2.874,1.87,0,-5.72910397737e-15
0.708,-5.2231,-8.001,-0.7157,2.6,0.75,0.88,-3.7393,-0.718,6.57,1.71,-12.6496,-2.819,1.87,0,-6.06570079182e-15
0.708,-4.2889,-8.001,-0.5904,3.2,0.75,0.88,-3.7393,-0.705,1.96,2.24,-12.6496,-2.36,1.87,0,-1.22524359722e-14
1.992,-10.8517,-5.416,-0.8724,0.63,0.64,0.63,-0.8724,1.992,1.63,0.64,-10.8517,-5.416,1.63,0,-1.64892404051e-16
1.992,-7.567,-5.416,-0.949,1.16,0.64,0.63,-0.8724,2.175,2.37,0.92,-10.8517,-4.046,1.63,0,-4.67740892755e-15
1.992,-7.7577,-5.416,-0.993,1.13,0.64,0.63,-0.8724,0.44,1.89,0.94,-10.8517,-4.163,1.63,0,-7.13281775685e-16
1.992,-7.0428,-5.416,-1.0392,1.34,0.64,0.63,-0.8724,0.008,2.03,1.06,-10.8517,-3.866,1.63,0,-1.37180750595e-14
2.541,-6.428,-9.197,0.3039,2.32,0.46,0.43,-3.0059,-2.133,0.68,1.76,-16.4332,-3.864,2.22,0,-1.64654109851e-15
0.642,-6.428,-7.106,0.3039,2.32,0.74,0.85,-2.8449,-2.133,0.68,1.76,-11.7951,-3.864,2.37,0,-2.35230722907e-15
1.316,-6.428,-6.654,0.3039,2.32,0.8,0.95,-2.751,-2.133,0.68,1.76,-10.946,-3.864,2.18,0,-6.8073847078e-15
0.099,-6.428,-6.109,0.3039,2.32,0.94,1.14,-2.666,-2.133,0.68,1.76,-9.8667,-3.864,1.83,0,-1.6498525616e-14
2.541,-9.5814,-9.197,0.8387,1.74,0.46,0.43,-3.0059,-1.309,2.6,1.23,-16.4332,-5.952,2.22,0,-1.24994081254e-14
0.642,-9.5814,-7.106,0.8387,1.74,0.74,0.85,-2.8449,-1.309,2.6,1.23,-11.7951,-5.952,2.37,0,-1.32052418789e-14
1.316,-9.5814,-6.654,0.8387,1.74,0.8,0.95,-2.751,-1.309,2.6,1.23,-10.946,-5.952,2.18,0,-1.7660335799e-14
0.099,-9.5814,-6.109,0.8387,1.74,0.94,1.14,-2.666,-1.309,2.6,1.23,-9.8667,-5.952,1.83,0,-2.73515112855e-14
0.574,-4.0062,-8.7,-0.5696,3.16,0.68,0.76,-3.9708,-0.548,1.97,2.46,-13.9018,-2.22,1.67,0,-1.8244085879e-14
0.574,-8.3888,-8.7,-1.6385,1.68,0.68,0.76,-3.9708,-0.641,2.58,1.2,-13.9018,-4.856,1.67,0,-4.62389835843e-15
0.574,-4.4332,-8.7,-0.6213,2.44,0.68,0.76,-3.9708,-0.697,1.79,2.13,-13.9018,-2.426,1.67,0,-2.31713908795e-15
0.574,-5.3291,-8.7,-0.6981,2,0.68,0.76,-3.9708,-0.978,6.93,1.65,-13.9018,-2.874,1.67,0,-1.02131436826e-15
0.574,-5.2231,-8.7,-0.7157,2.6,0.68,0.76,-3.9708,-0.718,6.57,1.71,-13.9018,-2.819,1.67,0,-1.3579045443e-15
0.574,-4.2889,-8.7,-0.5904,3.2,0.68,0.76,-3.9708,-0.705,1.96,2.24,-13.9018,-2.36,1.67,0,-7.54463270389e-15
1.251,-4.0062,-11.294,-0.5696,3.16,0.41,0.37,-4.2735,-0.548,1.97,2.46,-19.4043,-2.22,1.43,0,-1.7455857045e-14
0.213,-4.0062,-7.236,-0.5696,3.16,0.9,1.07,-3.5135,-0.548,1.97,2.46,-11.2571,-2.22,1.72,0,-3.297474743e-14
1.251,-8.3888,-11.294,-1.6385,1.68,0.41,0.37,-4.2735,-0.641,2.58,1.2,-19.4043,-4.856,1.43,0,-3.83560463359e-15
0.213,-8.3888,-7.236,-1.6385,1.68,0.9,1.07,-3.5135,-0.641,2.58,1.2,-11.2571,-4.856,1.72,0,-1.93545861078e-14
1.251,-4.4332,-11.294,-0.6213,2.44,0.41,0.37,-4.2735,-0.697,1.79,2.13,-19.4043,-2.426,1.43,0,-1.52892159205e-15
1.251,-5.3291,-11.294,-0.6981,2,0.41,0.37,-4.2735,-0.978,6.93,1.65,-19.4043,-2.874,1.43,0,-2.3315551269e-16
1.251,-5.2231,-11.294,-0.7157,2.6,0.41,0.37,-4.2735,-0.718,6.57,1.71,-19.4043,-2.819,1.43,0,-5.69708928726e-16
1.251,-4.2889,-11.294,-0.5904,3.2,0.41,0.37,-4.2735,-0.705,1.96,2.24,-19.4043,-2.36,1.43,0,-6.7564083716e-15
3.057,-5.8182,-7.239,-0.1081,1.33,0.54,0.51,-1.8675,0.13,2.16,0.99,-13.5852,-2.732,1.54,0,-4.37288440839e-15
0.183,-5.8182,-5.596,-0.1081,1.33,0.83,0.97,-1.92,0.13,2.16,0.99,-9.7506,-2.732,1.77,0,-4.99858355851e-15
0.105,-5.8182,-4.991,-0.1081,1.33,1,1.23,-1.8467,0.13,2.16,0.99,-8.4683,-2.732,2.06,0,-1.85695698546e-14
2.175,-7.567,-4.046,-0.949,1.16,0.92,1.16,-0.949,2.175,2.37,0.92,-7.567,-4.046,2.37,0,-9.19004715954e-15
0.44,-7.567,-4.163,-0.949,1.16,0.94,1.13,-0.993,2.175,2.37,0.92,-7.7577,-4.046,1.89,0,-5.22581274001e-15
2.175,-7.0428,-4.046,-1.0392,1.34,0.92,1.16,-0.949,0.008,2.03,1.06,-7.567,-3.866,2.37,0,-1.82307727107e-14
0.213,-4.4332,-7.236,-0.6213,2.44,0.9,1.07,-3.5135,-0.697,1.79,2.13,-11.2571,-2.426,1.72,0,-1.70477924324e-14
0.213,-5.3291,-7.236,-0.6981,2,0.9,1.07,-3.5135,-0.978,6.93,1.65,-11.2571,-2.874,1.72,0,-1.57519447689e-14
0.213,-5.2231,-7.236,-0.7157,2.6,0.9,1.07,-3.5135,-0.718,6.57,1.71,-11.2571,-2.819,1.72,0,-1.60885478546e-14
0.213,-4.2889,-7.236,-0.5904,3.2,0.9,1.07,-3.5135,-0.705,1.96,2.24,-11.2571,-2.36,1.72,0,-2.22752903846e-14
3.057,-5.5374,-7.239,-0.2563,1.5,0.54,0.51,-1.8675,0.368,3.11,1.13,-13.5852,-2.697,1.54,0,-1.30947289358e-14
0.183,-5.5374,-5.596,-0.2563,1.5,0.83,0.97,-1.92,0.368,3.11,1.13,-9.7506,-2.697,1.77,0,-1.37204947057e-14
0.105,-5.5374,-4.991,-0.2563,1.5,1,1.23,-1.8467,0.368,3.11,1.13,-8.4683,-2.697,2.06,0,-2.72915062153e-14
2.541,-8.0371,-9.197,0.6925,1.9,0.46,0.43,-3.0059,-1.358,3.17,1.33,-16.4332,-4.782,2.22,0,-5.98745390728e-16
0.642,-8.0371,-7.106,0.6925,1.9,0.74,0.85,-2.8449,-1.358,3.17,1.33,-11.7951,-4.782,2.37,0,-1.30442708375e-15
1.316,-8.0371,-6.654,0.6925,1.9,0.8,0.95,-2.751,-1.358,3.17,1.33,-10.946,-4.782,2.18,0,-5.7594950245e-15
0.099,-8.0371,-6.109,0.6925,1.9,0.94,1.14,-2.666,-1.358,3.17,1.33,-9.8667,-4.782,1.83,0,-1.54506287428e-14
2.541,-6.0316,-9.197,0.3431,2.55,0.46,0.43,-3.0059,-1.379,1.2,1.91,-16.4332,-3.641,2.22,0,-7.14095929723e-15
2.541,-10.1355,-9.197,1.0807,1.55,0.46,0.43,-3.0059,-1.194,2.25,1.1,-16.4332,-6.217,2.22,0,-4.09210515805e-15
0.642,-6.0316,-7.106,0.3431,2.55,0.74,0.85,-2.8449,-1.379,1.2,1.91,-11.7951,-3.641,2.37,0,-7.8467619903e-15
0.642,-10.1355,-7.106,1.0807,1.55,0.74,0.85,-2.8449,-1.194,2.25,1.1,-11.7951,-6.217,2.37,0,-4.7979046712e-15
1.316,-6.0316,-6.654,0.3431,2.55,0.8,0.95,-2.751,-1.379,1.2,1.91,-10.946,-3.641,2.18,0,-1.23018469458e-14
1.316,-10.1355,-6.654,1.0807,1.55,0.8,0.95,-2.751,-1.194,2.25,1.1,-10.946,-6.217,2.18,0,-9.25298401595e-15
0.44,-7.7577,-4.163,-0.993,1.13,0.94,1.13,-0.993,0.44,1.89,0.94,-7.7577,-4.163,1.89,0,-1.26158214754e-15
0.44,-7.0428,-4.163,-1.0392,1.34,0.94,1.13,-0.993,0.008,2.03,1.06,-7.7577,-3.866,1.89,0,-1.42665228091e-14
0.008,-7.0428,-3.866,-1.0392,1.34,1.06,1.34,-1.0392,0.008,2.03,1.06,-7.0428,-3.866,2.03,0,-2.727150879e-14
0.099,-6.0316,-6.109,0.3431,2.55,0.94,1.14,-2.666,-1.379,1.2,1.91,-9.8667,-3.641,1.83,0,-2.19929967493e-14
0.099,-10.1355,-6.109,1.0807,1.55,0.94,1.14,-2.666,-1.194,2.25,1.1,-9.8667,-6.217,1.83,0,-1.89441451862e-14
